PropId	Bed	Bath	State	Size
P957001	3	2	New York	1440
H429005	2	1.5	New Jersey	950
P226003	2	1.5	New York	930
H712007	4	2.5	Connecticut	1580
A648004	3	3	Connecticut	1480
A694009	2	1.5	New York	940
A750007	3	2	New York	1480
P681002	3	2.5	New Jersey	1450
H960005	2	1.5	New York	910
P485008	3	3	Connecticut	1510
H109005	3	3	New York	1430
A301008	3	2	New Jersey	1430
P308007	3	2.5	New Jersey	1460
A833004	2	1.5	New York	900
P435001	3	2	New Jersey	1420
A591001	3	2.5	New Jersey	1490
A655001	3	2	Connecticut	1410
H419006	3	2	New York	1440
A729004	3	2	Connecticut	1450
A325004	3	2	New York	1400
P662003	2	1.5	New Jersey	970
H619001	3	2	New Jersey	1400
P690001	3	3	New Jersey	1460
H499001	3	3	New York	1470
P319008	4	2.5	New Jersey	1570
H568007	3	2	New Jersey	1460
A845005	3	3	New Jersey	1550
H326002	2	1.5	New York	950
H610005	3	2.5	New York	1510
H870004	3	3	Connecticut	1490
A394002	2	1.5	New Jersey	990
H989001	3	2	Connecticut	1430
H238001	3	2.5	New York	1570
A641009	2	1	New Jersey	900
P678006	4	2.5	New York	1600
H141004	3	2.5	Connecticut	1450
A939002	3	2	Connecticut	1440
P820004	3	3	New York	1480
P936009	3	2	New Jersey	1480
A436004	2	1	Connecticut	950
